t 	 u 
0	5
2	0.676676
4	0.0915782
6	0.0123938
8	0.00167731
10	0.000227
12	3.07211e-05
14	4.15764e-06
16	5.62676e-07
18	7.61499e-08
20	1.03058e-08
22	1.39473e-09
24	1.88757e-10
26	2.55454e-11
28	3.4572e-12
30	4.67881e-13
32	6.33208e-14
34	8.56954e-15
36	1.15976e-15
38	1.56957e-16
40	2.12418e-17
42	2.87476e-18
44	3.89057e-19
46	5.26531e-20
48	7.12582e-21
50	9.64375e-22
52	1.30514e-22
54	1.76631e-23
56	2.39045e-24
58	3.23512e-25
